flyer	8 (6) 
foamy	7 (5) 
focal	7 (6) 
focus	7 (2) 
foggy	7 (10) 
foist	7 (5) 
folio	8 (9) 
folly	8 (4) 
foray	8 (7) 
force	7 (3) 
forge	10 (7) 
forgo	7 (5) 
forte	10 (8) 
forth	7 (3) 
forty	7 (3) 
forum	7 (4) 
found	8 (3) 
foyer	8 (8) 
frail	6 (0) 
frame	8 (6) 
frank	7 (3) 
fraud	8 (4) 
freak	7 (4) 
freed	7 (3) 
freer	8 (7) 
fresh	6 (0) 
friar	8 (5) 
fried	9 (6) 
frill	8 (4) 
frisk	7 (1) 
fritz	7 (3) 
frock	6 (0) 
frond	8 (2) 
front	7 (1) 
frost	8 (2) 
froth	7 (2) 
frown	8 (4) 
froze	10 (5) 
fruit	7 (3) 
fudge	8 (5) 
fugue	8 (9) 
fully	7 (8) 
fungi	8 (2) 
funky	7 (6) 
funny	8 (8) 
furor	8 (5) 
furry	9 (10) 
fussy	7 (5) 
fuzzy	8 (11) 
gaffe	7 (5) 
gaily	7 (5) 
gamer	7 (4) 
gamma	8 (4) 
gamut	7 (2) 
gassy	8 (9) 
gaudy	7 (1) 
gauge	8 (4) 
gaunt	8 (4) 
gauze	8 (3) 
gavel	8 (9) 
gawky	7 (10) 
gayer	7 (6) 
gayly	7 (2) 
gazer	8 (10) 
gecko	8 (4) 
geeky	9 (14) 
geese	8 (18) 
genie	9 (7) 
genre	9 (3) 
ghost	7 (1) 
ghoul	6 (0) 
giant	8 (7) 
giddy	8 (3) 
gipsy	7 (2) 
girly	7 (1) 
girth	7 (2) 
given	8 (8) 
giver	8 (8) 
glade	9 (3) 
gland	6 (0) 
glare	9 (3) 
glass	8 (2) 
glaze	9 (4) 
gleam	7 (1) 
glean	7 (1) 
glide	8 (4) 
glint	8 (6) 
gloat	6 (0) 
globe	8 (4) 
gloom	7 (2) 
glory	7 (2) 
gloss	6 (0) 
glove	8 (5) 
glyph	7 (2) 
gnash	8 (2) 
gnome	7 (2) 
godly	6 (0) 
going	8 (9) 
golem	8 (5) 
golly	7 (3) 
gonad	8 (2) 
goner	8 (4) 
goody	6 (0) 
gooey	7 (7) 
goofy	7 (7) 
goose	8 (2) 
gorge	10 (15) 
gouge	8 (9) 
gourd	8 (2) 
grace	8 (7) 
grade	8 (4) 
graft	7 (3) 
grail	6 (0) 
grain	9 (5) 
grand	7 (1) 
grant	8 (4) 
grape	8 (6) 
graph	8 (2) 
grasp	9 (3) 
grass	9 (4) 
grate	8 (6) 
grave	8 (7) 
gravy	7 (3) 
graze	8 (7) 
great	6 (0) 
greed	7 (3) 
green	8 (3) 
greet	6 (0) 
grief	8 (6) 
grill	8 (3) 
grime	7 (5) 
grimy	7 (2) 
grind	9 (7) 
gripe	7 (2) 
groan	6 (0) 
groin	7 (3) 
groom	8 (3) 
grope	9 (5) 
gross	9 (3) 
group	7 (2) 
grout	7 (1) 
grove	10 (9) 
growl	7 (3) 
grown	8 (3) 
gruel	9 (8) 
gruff	8 (10) 
grunt	6 (0) 
guard	8 (3) 
guava	8 (9) 
guess	7 (1) 
guest	6 (0) 
guide	9 (3) 
guild	8 (2) 
guile	8 (7) 
guilt	8 (4) 
guise	6 (0) 
gulch	8 (2) 
gully	7 (4) 
gumbo	8 (4) 
gummy	8 (8) 
guppy	7 (5) 
gusto	8 (4) 
gusty	6 (0) 
gypsy	7 (5) 
habit	7 (3) 
hairy	8 (10) 
halve	9 (9) 
handy	8 (3) 
happy	8 (9) 
hardy	8 (5) 
harem	8 (8) 
harpy	8 (5) 
harry	8 (9) 
harsh	8 (4) 
haste	8 (3) 
hasty	7 (3) 
hatch	8 (4) 
hater	8 (5) 
haunt	8 (8) 
haute	8 (5) 
haven	8 (6) 
havoc	9 (8) 
hazel	9 (10) 
heady	8 (4) 
heard	8 (6) 
heart	8 (4) 
heath	8 (5) 
heave	8 (9) 
heavy	8 (6) 
hedge	9 (3) 
hefty	7 (3) 
heist	7 (1) 
helix	7 (4) 
hello	7 (6) 
hence	8 (3) 
heron	9 (4) 
hilly	7 (5) 
hinge	8 (7) 
hippo	9 (6) 
hippy	7 (3) 
hitch	7 (2) 
hoard	8 (10) 
hobby	7 (7) 
hoist	8 (4) 
holly	7 (6) 
homer	8 (6) 
honey	7 (6) 
honor	8 (6) 
horde	8 (2) 
horny	7 (2) 
horse	7 (4) 
hotel	8 (6) 
hotly	7 (4) 
hound	8 (2) 
house	8 (2) 
hovel	9 (13) 
hover	8 (6) 
howdy	7 (2) 
human	8 (4) 
humid	9 (4) 
humor	8 (5) 
humph	7 (4) 
humus	7 (5) 
hunch	8 (4) 
hunky	7 (6) 
hurry	8 (11) 
husky	7 (4) 
hussy	7 (6) 
hutch	6 (0) 
hydro	7 (1) 
hyena	7 (2) 
hymen	7 (2) 
hyper	7 (7) 
icily	8 (10) 
icing	8 (5) 
ideal	7 (2) 
idiom	7 (1) 
idiot	9 (8) 
idler	8 (6) 
idyll	8 (6) 
igloo	8 (3) 
iliac	7 (4) 
image	7 (5) 
imbue	8 (3) 
impel	7 (3) 
imply	6 (0) 
inane	9 (11) 
inbox	8 (6) 
incur	8 (6) 
index	8 (3) 
inept	6 (0) 
inert	7 (1) 
infer	8 (4) 
ingot	8 (5) 
inlay	7 (2) 
inlet	7 (6) 
inner	9 (7) 
input	7 (1) 
inter	8 (4) 
intro	8 (7) 
ionic	8 (3) 
irate	9 (10) 
irony	7 (2) 
islet	8 (5) 
issue	9 (6) 
itchy	7 (2) 
ivory	7 (2) 
jaunt	8 (8) 
jazzy	9 (22) 
jelly	7 (7) 
jerky	8 (13) 
jetty	9 (14) 
jewel	8 (5) 
jiffy	8 (14) 
joint	9 (13) 
joist	8 (5) 
joker	8 (9) 
jolly	8 (6) 
joust	8 (6) 
judge	8 (6) 
juice	8 (6) 
juicy	7 (5) 
jumbo	8 (7) 
jumpy	7 (3) 
junta	9 (9) 
junto	9 (10) 
juror	9 (10) 
kappa	9 (6) 
karma	8 (5) 
kayak	8 (19) 
kebab	8 (7) 
khaki	8 (3) 
kinky	8 (12) 
kiosk	8 (7) 
kitty	8 (7) 
knack	8 (8) 
knave	9 (12) 
knead	9 (3) 
kneed	7 (1) 
kneel	8 (3) 
knelt	7 (3) 
knife	7 (5) 
knock	7 (1) 
knoll	7 (2) 
known	7 (3) 
koala	7 (6) 
krill	8 (5) 
label	8 (8) 
labor	8 (5) 
laden	9 (9) 
ladle	9 (11) 
lager	9 (7) 
lance	9 (5) 
lanky	7 (2) 
lapel	8 (5) 
lapse	8 (3) 
large	9 (5) 
larva	9 (4) 
lasso	8 (8) 
latch	8 (3) 
later	8 (6) 
lathe	7 (3) 
latte	7 (9) 
laugh	8 (6) 
layer	8 (8) 
leach	6 (0) 
leafy	7 (1) 
leaky	7 (4) 
leant	6 (0) 
leapt	6 (0) 
learn	8 (6) 
lease	7 (1) 
leash	7 (3) 
least	7 (2) 
leave	7 (3) 
ledge	8 (3) 
leech	7 (5) 
leery	8 (12) 
lefty	6 (0) 
legal	8 (3) 
leggy	7 (4) 
lemon	6 (0) 
lemur	8 (7) 
leper	7 (3) 
level	9 (7) 
lever	9 (9) 
libel	8 (6) 
liege	7 (4) 
light	7 (5) 
liken	8 (8) 
lilac	7 (4) 
limbo	6 (0) 
limit	8 (3) 
linen	9 (11) 
liner	8 (10) 
lingo	7 (5) 
lipid	9 (6) 
lithe	8 (6) 
liver	8 (9) 
livid	8 (5) 
llama	7 (2) 
loamy	7 (6) 
loath	8 (3) 
lobby	7 (2) 
local	8 (7) 
locus	7 (1) 
lodge	8 (5) 
lofty	7 (3) 
logic	7 (2) 
login	8 (6) 
loopy	7 (2) 
loose	7 (1) 
lorry	8 (6) 
loser	8 (7) 
louse	8 (4) 
lousy	8 (10) 
lover	9 (12) 
lower	9 (9) 
lowly	7 (3) 
loyal	7 (3) 
lucid	8 (6) 
lucky	7 (5) 
lumen	8 (8) 
lumpy	7 (3) 
lunar	9 (9) 
lunch	8 (3) 
lunge	7 (1) 
lupus	8 (2) 
lurch	8 (4) 
lurid	9 (4) 
lusty	7 (3) 
lying	8 (7) 
lymph	7 (4) 
lynch	7 (2) 
lyric	7 (3) 
macaw	8 (9) 
macho	8 (7) 
macro	8 (7) 
madam	7 (4) 
madly	7 (3) 
mafia	8 (7) 
magic	8 (7) 
magma	8 (4) 
maize	8 (7) 
major	8 (6) 
maker	7 (5) 
mambo	8 (4) 
mamma	9 (10) 
mammy	8 (15) 
manga	8 (4) 
mange	7 (6) 
mango	8 (5) 
mangy	7 (3) 
mania	9 (5) 
manic	8 (7) 
manly	7 (6) 
manor	8 (3) 
maple	8 (4) 
march	8 (4) 
marry	7 (3) 
marsh	7 (2) 
mason	6 (0) 
masse	7 (5) 
match	7 (4) 
matey	7 (5) 
mauve	8 (5) 
maxim	8 (8) 
maybe	7 (3) 
mayor	7 (4) 
mealy	7 (4) 
meant	8 (4) 
meaty	8 (7) 
mecca	9 (4) 
medal	7 (1) 
media	6 (0) 
medic	9 (4) 
melee	8 (5) 
melon	6 (0) 
mercy	8 (3) 
merge	7 (2) 
merit	6 (0) 
merry	9 (13) 
metal	7 (2) 
meter	7 (1) 
metro	8 (3) 
micro	8 (4) 
midge	8 (2) 
midst	6 (0) 
might	8 (6) 
milky	7 (4) 
mimic	9 (11) 
mince	8 (6) 
miner	9 (7) 
minim	9 (11) 
minor	8 (6) 
minty	8 (5) 
minus	8 (5) 
mirth	7 (2) 
miser	8 (4) 
missy	7 (4) 
mocha	8 (3) 
modal	8 (7) 
model	8 (6) 
modem	8 (2) 
mogul	7 (3) 
moist	8 (3) 
molar	8 (6) 
moldy	8 (4) 
money	7 (4) 
month	9 (8) 
moody	6 (0) 
moose	7 (1) 
moral	8 (6) 
moron	8 (5) 
morph	8 (3) 
mossy	7 (4) 
motel	8 (2) 
motif	7 (6) 
motor	8 (4) 
motto	8 (5) 
moult	8 (6) 
mound	8 (2) 
mount	9 (7) 
mourn	8 (4) 
mouse	8 (3) 
mouth	8 (2) 
mover	9 (6) 
movie	8 (4) 
mower	8 (8) 
mucky	7 (5) 
mucus	8 (4) 
muddy	8 (8) 
mulch	7 (7) 
mummy	8 (13) 
munch	7 (5) 
mural	6 (0) 
